date, pm25
2020-01-01,74
2020-01-02,93
2020-01-03,102
2020-01-04,121
2020-01-05,130
2020-01-06,135
2020-01-07,139
2020-01-08,149
2020-01-09,140
2020-01-10,180
2020-01-11,138
2020-01-12,120
2020-01-13,116
2020-01-14,112
2020-01-15,122
2020-01-16,127
2020-01-17,143
2020-01-18,162
2020-01-19,159
2020-01-20,163
2020-01-21,147
2020-01-22,124
2020-01-23,115
2020-01-24,84
2020-01-25,69
2020-01-26,62
2020-01-27,81
2020-01-28,101
2020-01-29,104
2020-01-30,110
2020-01-31,138
2020-02-01,161
2020-02-02,162
2020-02-03,159
2020-02-04,145
2020-02-05,109
2020-02-06,91
2020-02-07,108
2020-02-08,118
2020-02-09,138
2020-02-10,138
2020-02-11,154
2020-02-12,126
2020-02-13,58
2020-02-14,55
2020-02-15,75
2020-02-16,58
2020-02-17,73
2020-02-18,118
2020-02-19,149
2020-02-20,167
2020-02-21,154
2020-02-22,150
2020-02-23,151
2020-02-24,166
2020-02-25,164
2020-02-26,145
2020-02-27,140
2020-02-28,104
2020-02-29,96
2020-03-01,91
2020-03-02,91
2020-03-03,66
2020-03-04,56
2020-03-05,63
2020-03-06,61
2020-03-07,63
2020-03-08,75
2020-03-09,119
2020-03-10,107
2020-03-11,111
2020-03-12,94
2020-03-13,80
2020-03-14,72
2020-03-15,81
2020-03-16,109
2020-03-17,79
2020-03-18,84
2020-03-19,75
2020-03-20,75
2020-03-21,79
2020-03-22,69
2020-03-23,65
2020-03-24,61
2020-03-25,70
2020-03-26,59
2020-03-27,59
2020-03-28,81
2020-03-29,72
2020-04-01,73
2020-04-02,62
2020-04-03,54
2020-04-04,62
2020-04-05,63
2020-04-06,61
2020-04-07,74
2020-04-08,70
2020-04-09,61
2020-04-10,69
2020-04-11,73
2020-04-12,68
2020-04-13,89
2020-04-14,110
2020-04-15,90
2020-04-16,69
2020-04-17,56
2020-04-18,53
2020-04-19,57
2020-04-20,60
2020-04-21,53
2020-04-22,68
2020-04-23,70
2020-04-24,72
2020-04-25,75
2020-04-26,90
2020-04-27,114
2020-04-28,97
2020-04-29,108
2020-04-30,87
2020-05-01,62
2020-05-02,60
2020-05-03,58
2020-05-04,68
2020-05-05,70
2020-05-06,65
2020-05-07,56
2020-05-08,52
2020-05-09,37
2020-05-10,34
2020-05-11,49
2020-05-12,76
2020-05-13,57
2020-05-14,54
2020-05-15,53
2020-05-16,58
2020-05-17,57
2020-05-18,55
2020-05-19,49
2020-05-20,56
2020-05-21,61
2020-05-22,85
2020-05-23,85
2020-05-24,87
2020-05-25,91
2020-05-26,92
2020-05-27,53
2020-05-28,50
2020-05-29,54
2020-05-30,42
2020-05-31,47
2020-06-01,48
2020-06-02,43
2020-06-03,48
2020-06-04,53
2020-06-05,48
2020-06-06,39
2020-06-07,32
2020-06-08,34
2020-06-09,45
2020-06-10,40
2020-06-11,54
2020-06-12,46
2020-06-13,47
2020-06-14,52
2020-06-15,42
2020-06-16,42
2020-06-17,49
2020-06-18,61
2020-06-19,59
2020-06-20,52
2020-06-21,52
2020-06-22,60
2020-06-23,60
2020-06-24,61
2020-06-25,54
2020-06-26,48
2020-06-27,54
2020-06-28,50
2020-06-29,48
2020-06-30,48
2020-07-01,46
2020-07-02,46
2020-07-03,55
2020-07-04,60
2020-07-05,55
2020-07-06,50
2020-07-07,53
2020-07-08,47
2020-07-09,50
2020-07-10,53
2020-07-11,50
2020-07-12,50
2020-07-13,42
2020-07-14,53
2020-07-15,57
2020-07-16,51
2020-07-17,53
2020-07-18,65
2020-07-19,42
2020-07-20,61
2020-07-21,60
2020-07-22,63
2020-07-23,56
2020-07-24,58
2020-07-25,59
2020-07-26,51
2020-07-27,40
2020-07-28,44
2020-07-29,49
2020-07-30,48
2020-07-31,43
2020-08-01,41
2020-08-02,32
2020-08-03,37
2020-08-04,44
2020-08-05,48
2020-08-06,57
2020-08-07,57
2020-08-08,49
2020-08-09,42
2020-08-10,42
2020-08-11,45
2020-08-12,41
2020-08-13,51
2020-08-14,56
2020-08-15,61
2020-08-16,57
2020-08-17,63
2020-08-18,73
2020-08-19,65
2020-08-20,76
2020-08-21,60
2020-08-22,55
2020-08-23,52
2020-08-24,58
2020-08-25,57
2020-08-26,53
2020-08-27,51
2020-08-28,60
2020-08-29,62
2020-08-30,68
2020-08-31,52
2020-09-01,52
2020-09-02,71
2020-09-03,63
2020-09-04,60
2020-09-05,54
2020-09-06,44
2020-09-07,40
2020-09-08,50
2020-09-09,67
2020-09-10,57
2020-09-11,41
2020-09-12,42
2020-09-13,44
2020-09-14,39
2020-09-15,47
2020-09-16,52
2020-09-17,50
2020-09-18,50
2020-09-19,39
2020-09-20,26
2020-09-21,55
2020-09-22,62
2020-09-23,77
2020-09-24,37
2020-09-25,46
2020-09-26,83
